,Country,Days,Cumulative Confirmed Count,Cumulative Confirmed per million,Cumulative Death Count,Cumulative Recovered Count,Cumulative Testing Count,Cumulative Testing per thousand,Population,Population_Density,Land_Area_Kmsq,Health Capacity Score,Recovery Rate,Fatality Rate,Active,Risk.of.Transmission.from.P2P,Risk.due2.lack.of.sanitation.and.water.services,Risk.based.on.Pop.Dist.,Vul.Index,Hazard.Ind.Vul.Risk.Index,INFORM.Socio.Eco.Vul.Risk.Index,Vul.related2.Dev.and.Deprivation,Vul.due2.Eco.and.Gender.Inequality,Vul.based.on.Eco.Dependency.Index,INFORM.Vulnerable.Groups.Risk.Index,Vul.associated.with.Uprooted.people,Vul.due2.other.Health.Condns,Vul.due2.lack.of.Food.Security,Vul.due2.Gender.Based.Violence,Covid19.Overall.Vul.Index,Vul.related2.Intl.and.Int.Movements,Vul.due2.lackof.authntic.info.nd.trust.on.politicians,Vul.due2.1plus.underlying.condns.plus.0.condns.65plus.yrs.pop,Lack.of.Coping.Capacity.Index,Hazard.Independent.Lack.of.Coping.Capacity.Index,INFORM.Risk.Index.related2.Institutional.Strength,Risk.based.on.Corruption.Perception.Index,Risk.based.on.Govt.Effectiveness,INFORM.Risk.Index.based.on.ltd.opl.Infra,Risk.associated2.Immunization.coverage,Risk.based.on.pc.public.and.pvt.exp.on.healthcare,Risk.based.on.Maternal.Mortality.ratio,Covid19.Overall.Lack.of.coping.capacity.Index,Lack.based.on.IHR.core.capacity.scores,Lack.based.on.Opl.readiness.index,INFORM COVID-19 RISK,COVID-19 RISK CLASS
0,Afghanistan,169,0.06642716924536708,0.239093081968399,0.07909955146830658,0.10177695567731421,0.0,0.0,0.2702333733202988,0.02202392253654832,0.3986470185479288,5.574412532637076,7.6767676767676765,1.3793103448275863,0.021677157465898787,6.4,6.0,6.6,6.4,8.2,7.9,8.6,7.7,6.8,8.5,9.7,2.1,7.8,10,3.5,2.2,8.4,1.6,7.7,8.3,8.2,8.4,7.9,8.3,7.2,9.6,7.1,7,6.5,7.5,6.8,Very High
1,Albania,173,0.01613724076878219,0.7883454444936128,0.01551524725662219,0.017579751488150476,0.0,0.0,0.019758813764158813,0.03911144864249098,0.016730304186960282,1.3446475195822456,5.454545454545454,1.0344827586206897,0.011246596090487802,3.6,0.9,5.0,4.1,1.9,2.1,1.9,2.1,2.3,1.7,0.9,0.2,1.8,3.7,5.7,5.4,4.7,6.4,4.9,4.8,5.7,6.5,4.8,3.7,0.06666666666666667,7.6,0.2,5,5,5,4.2,Medium
2,Algeria,179,0.07625029205409024,0.24363899193733593,0.08412084967135885,0.1075691686178323,0.0,0.0,0.30443564339884577,0.006075564837668502,1.4543311056588413,0.9138381201044388,7.07070707070707,1.0344827586206897,0.032675272397470465,4.3,1.4,5.7,3.6,3.0,2.5,3.1,3.3,0.3,3.4,5.4,0.4,0.3,5.9,4.2,4.5,5.8,3.2,3.9,5.2,6.2,6.5,5.9,4,1.4333333333333333,6.8,1.2,2.25,2,2.5,3.9,Medium
3,Angola,148,0.004415004114456281,0.01831491089330019,0.006036841659849361,0.003645522171148336,0.0,0.0,0.22811486591152877,0.009113347256502754,0.7612560129778165,0.2872062663185379,4.141414141414141,1.3793103448275863,0.0039587566454591765,6.5,6.8,6.4,4.3,5.4,5.6,8.1,6.1,0.1,5.2,4.8,5,6.3,4.35,3.0,3.7,8.1,0,6.2,7.4,7.3,7.4,7.1,7.4,8.266666666666667,9.5,2.7,4.55,4.1,5,5.6,High
4,Antigua and Barbuda,140,0.00013415758358845052,0.2342119370581812,0.00016925724279951478,0.00031167288494928137,0.0,0.0,0.0004446498404913014,0.08391873932029618,0.0002680610072657967,1.174934725848564,9.595959595959595,1.0344827586206897,2.8236495331377864e-06,2.8,1.0,3.7,3.4,2.7,2.9,2.5,2.9,3.7,2.4,0.0,0,5.8,2.4,4.0,5.4,1.1,4.8,4.9,4.4,5.0,5.0,5.0,3.7,3,6.9,0.5,5.4,5.8,5,3.6,Medium
5,Argentina,172,0.6449512581106536,2.0036724440342906,0.44226917543513217,0.9413256533399076,0.16138179430936334,0.40549186426956796,0.3137786538054814,0.00569584203531422,1.6710697264538172,5.939947780678851,7.373737373737373,0.6896551724137931,0.2641439428764405,2.8,0.4,4.0,3.2,1.6,1.8,1.4,4.4,0.0,1.4,2.8,0.3,1.1,1.4,4.6,5.0,5.4,4,4.2,4.0,5.2,5.5,4.9,2.5,2.6,5,0.4,4.3,3.6,5,3.4,Low
6,Armenia,169,0.07598023458063298,3.602015791146235,0.04919743857372563,0.13154346716123433,0.0,0.0,0.020352481539255216,0.0387317258401367,0.01738366472858762,2.284595300261097,8.686868686868687,0.6896551724137931,0.014654741076985112,2.7,0.4,3.9,4.4,2.1,2.0,1.5,2.8,2.2,2.1,4.6,0.3,2.0,0.8500000000000001,6.1,6.2,4.5,6.8,3.8,4.3,5.4,5.8,5.0,3,0.6333333333333334,7.2,0.3,3.35,1.7,5,3.6,Medium
7,Australia,208,0.04408906042474988,0.24232281228260344,0.03227171429377416,0.07038554286062479,0.766621445331657,3.414036694349899,0.17693415324555423,0.0003797228023542813,4.690944893068389,8.590078328981724,7.979797979797979,0.6896551724137931,0.013129970329090706,2.5,0.0,3.8,3.5,1.4,0.5,0.0,2.1,0.0,2.2,5.8,0.1,1.2,0.3,5.1,5.6,3.4,5.6,1.1,1.6,2.1,2.3,1.8,1,0.8333333333333334,0,0.1,0.5,1,0,2.1,Low
8,Austria,180,0.04589931665005378,0.7155636819160249,0.04135518632401478,0.07815285138666418,0.14758878355303415,1.860919743729356,0.06233954217887224,0.0406303398519081,0.05031975281722044,4.112271540469974,8.585858585858585,1.0344827586206897,0.009346279954686072,2.5,0.0,3.8,4.7,1.5,0.3,0.0,1.2,0.1,2.6,7.0,0.1,0.2,0.5,6.8,6.7,3.7,8.4,2.4,1.4,2.2,2.3,2.1,0.6,2,0,0.1,3.3,4.1,2.5,3.0,Low
9,Azerbaijan,173,0.06299656817931956,0.8723793230263168,0.029845693813647777,0.11758122230401204,0.0,0.0,0.07020994440490894,0.04594645908486804,0.05047179653204774,2.741514360313316,9.393939393939394,0.3448275862068966,0.005839307234528942,4.1,1.3,5.5,3.8,3.2,2.2,2.9,2.4,0.5,4.0,8.1,0.8,1.3,2.7,4.3,5.2,3.1,4.4,3.9,4.5,6.1,7,5.2,2.4,0.5,6.1,0.3,3.35,1.7,5,3.9,Medium
10,Bahamas,156,0.003690204701822574,1.3278932094644629,0.00282095404665858,0.002738519056520652,0.0,0.0,0.002496460329017329,0.014049743687108412,0.006111668842194439,1.6710182767624024,3.737373737373737,0.6896551724137931,0.003676391692145398,3.4,0.4,4.9,3.9,3.6,4.6,1.9,4.7,10.0,2.5,0.9,1.6,4.6,2.5,4.2,4.5,3.6,4.4,4.4,3.7,3.8,3.6,3.9,3.5,1.9000000000000001,5.3,0.8,5,5,5,3.9,Medium
11,Bahrain,185,0.08840287835966743,7.29869510894606,0.01060678721543626,0.16588701752862312,0.13978687904753265,9.32912127085694,0.011586575183541297,0.8494399088665274,0.0004634585524253751,0.9007832898172325,9.393939393939394,0.0,0.009027207557441503,6.4,0.0,9.6,2.9,1.2,1.3,1.2,2.8,0.0,1.0,1.1,0.1,1.7,1.0,4.3,8.6,2.8,2.8,3.1,4.2,5.2,5.8,4.6,3,0.19999999999999998,3.8,0.2,1.85,1.2,2.5,3.9,Medium
12,Bangladesh,162,0.5220141269677825,0.4445324510383401,0.2272560579988152,0.654008778669528,0.19147146841464616,0.13202734689098827,1.1440048199603603,0.4795898993734573,0.07948344704961616,3.511749347258486,6.262626262626262,0.3448275862068966,0.3073344861353161,5.7,4.3,6.4,4.6,5.2,5.3,7.4,4.5,1.8,5.1,7.7,2,4.3,4.85,3.9,6.1,7.0,1.2,5.5,6.2,7.0,7.4,6.5,5.3,0.3666666666666667,9.9,1.9,4.6,4.2,5,5.2,High
13,Barbados,161,0.00026657286089653155,0.14408144796453304,0.0003949335665322012,0.0004937738963803222,0.0,0.0,0.0017608961869664272,0.25289538636795134,0.00026195483397955984,2.3237597911227157,8.383838383838382,1.3793103448275863,5.929664019589351e-05,3.0,0.6,4.2,4.8,1.8,2.4,2.6,3.4,1.1,1.1,0.0,1.1,2.0,1.1,6.9,7.3,4.2,8,4.3,3.5,4.0,3.8,4.1,2.9,2.3000000000000003,5.7,0.3,5,5,5,4.0,Medium
14,Belarus,168,0.12362882673617771,1.8373313690507538,0.03706733617309374,0.24295776867428362,0.19388643044258183,2.330087049420341,0.06541692788779456,0.017087526105942663,0.12389975153370282,8.172323759791123,9.898989898989898,0.3448275862068966,0.002648583262083244,2.9,0.4,4.1,4.2,1.1,1.2,1.7,0.9,0.4,1.0,1.8,0.6,1.2,0.4,6.3,7.1,2.2,8,4.5,3.9,5.6,5.5,5.6,1.6,0.25,6.3,0,5,5,5,3.8,Medium
15,Belgium,176,0.14361830669085685,1.7401452221913403,0.5639651330079833,0.0640540307708686,0.2853211932056099,2.7956973140986077,0.08028745592935105,0.1446743876969812,0.018488882093396487,6.697127937336815,2.222222222222222,4.137931034482759,0.15292603506520938,3.4,0.1,5.1,4.7,1.2,0.3,0.0,0.7,0.4,2.0,5.4,0.1,0.2,0.8500000000000001,7.0,7.9,4.0,8,1.4,1.7,2.6,2.5,2.7,0.8,1.1333333333333335,0,0.1,1,2,0,2.8,Low
16,Belize,142,0.0016499640475099045,0.5925871293143318,0.0007334480521312308,0.00040272339066480174,0.0,0.0,0.0025269197949492933,0.00569584203531422,0.013927570648577577,2.83289817232376,1.212121212121212,0.3448275862068966,0.0023577473601700517,2.6,0.9,3.4,3.6,3.1,3.7,4.1,5.2,1.2,2.5,3.6,1.3,2.4,2.5,4.0,3.8,7.2,2.4,5.7,5.5,6.2,6.2,6.2,4.6,1.9,8.3,0.4,5.85,6.7,5,3.8,Medium
17,Benin,149,0.0037076277646262688,0.04261837488172969,0.002256763237326864,0.006086376112829786,0.0,0.0,0.08399468002916397,0.04025061704955382,0.06885259935827784,0.1305483028720627,8.181818181818182,0.6896551724137931,0.0010334557291284297,7.0,7.9,6.6,4.1,5.2,6.6,8.7,7,1.8,3.3,1.3,4.5,2.4,4.4,2.9,2.9,7.9,0.4,6.7,6.4,6.0,5.9,6.1,6.8,3.5,9.9,4.4,7,6.5,7.5,5.8,High
18,Bhutan,109,0.00031013051790576877,0.061163745527587486,0.0,0.00042023310330240184,0.0,0.0,0.005125284546143657,0.0068350104423770645,0.023274290097820286,2.7545691906005225,6.262626262626262,0.0,0.0002089500654521962,3.9,2.0,4.8,3.9,4.9,5.2,7.2,4.5,1.9,4.5,0.0,1.5,4.3,8.5,2.7,2.4,5.0,1.6,4.6,4.4,3.8,3.2,4.3,5,0.1,9.2,2,4.85,4.7,5,4.1,Medium
19,Bolivia,165,0.19336463560796646,2.326260853169466,0.26313859347231233,0.17115744103254074,0.029068625607250365,0.282791696822428,0.080866894464888,0.0034175052211885323,0.6614811414807068,0.40469973890339433,4.444444444444444,1.3793103448275863,0.16224407852456407,4.6,4.4,4.7,3.8,3.8,4.6,5.9,5.4,1.2,2.9,0.9,1.1,5.0,3.9000000000000004,3.8,4.6,6.7,2,6.7,5.7,6.3,6.9,5.6,5,2.6,8.5,1.7,7.5,7.5,7.5,4.9,Medium
20,Bosnia and Herzegovina,171,0.0340324685744572,1.457510186697205,0.03351293407430393,0.045027977018852354,0.0,0.0,0.022558958581410684,0.023542813745965445,0.03114087314247919,1.906005221932115,6.666666666666667,1.0344827586206897,0.017215791203541084,2.1,0.5,2.9,5.4,2.8,2.7,3.0,2.1,2.6,2.9,7.1,0.3,1.4,0.5,7.2,4.6,5.7,9.2,6.2,5.2,6.3,6.4,6.2,3.9,3.65,6.4,0.1,7.1,6.7,7.5,4.1,Medium
21,Botswana,138,0.002691863203170858,0.1618618402904198,0.00016925724279951478,0.000696886562976483,0.0,0.0,0.01610305254394399,0.0007594456047085627,0.346054548033571,0.731070496083551,1.3131313131313131,0.0,0.003837339715534252,3.9,2.1,4.8,4.3,4.2,3.5,3.4,6.7,0.5,4.8,2.2,4.2,7.0,4.8,4.3,2.2,4.6,5.2,6.2,4.5,4.1,3.9,4.3,4.8,2.2,7,1.6,7.4,7.4,7.4,4.7,Medium
22,Brazil,169,6.154371124130785,4.065909800350272,6.395554176422466,10.0,0.6128587044957495,0.3274201752618338,1.4765996351485409,0.008733624454148471,5.103624508445418,7.193211488250654,8.181818181818182,1.0344827586206897,1.5908808544137596,3.0,0.8,4.1,3.7,2.9,3.4,3.7,6.1,0.1,2.3,5.2,0.7,1.3,1,4.4,4.6,6.5,3.2,3.7,5.2,6.2,6.5,5.9,3.9,4.666666666666667,4.1,0.7,1.9,1.3,2.5,3.5,Medium
23,Brunei,169,0.00022127289760692488,0.0798691913565008,0.00016925724279951478,0.0004867700113252821,0.0,0.0,0.0028037993973340372,0.03075754699069679,0.0032173427045181836,5.0,9.797979797979798,0.6896551724137931,2.8236495331377864e-06,3.9,0.2,5.7,2.7,1.1,1.3,1.1,3.1,0.0,0.8,0.0,0.4,1.9,0.8,4.0,4.7,3.2,4,2.8,3.0,3.3,4,2.5,2.6,0.1,4,0.3,2.5,2.5,2.5,3.1,Low
